Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Solanaceae,Solanum,splendens, ,(Dunal) Bohs,MEXUw-0397,"Barajas Morales, Josefina",,193,,Cyphomandra,hartwegii,Veracruz,México, 05/10/1982,5,10,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,256,7408,,,,,,,,,,,,
Fabaceae,Machaerium,cobanense, ,Donn. Sm.,MEXUw-0398,"León Gómez, Calixto",,822,,,,Veracruz,México,14/07/2000,14,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,128,3823,,,,,,,,,,,,
Piperaceae,Piper,auritum, ,Kunth,MEXUw-0399,"Barajas Morales, Josefina","León Gómez, Calixto; Hernández R., Miguel",195,,,,Veracruz,México, 05/10/1982,5,10,1982,"Instituto de Biología, UNAM",,,Acuyo,Árbol,,,,,53,1862,,,,,,,,,,,,
Moraceae ,Ficus,sp., ,L.,MEXUw-0400,"León Gómez, Calixto",,640,,,,Veracruz,México,26/10/1999,26,10,1999,"Instituto de Biología, UNAM",,,,Liana,,,,,64,1961,,,,,,,,,,,,
Rubiaceae,Hamelia,longipes, ,Standl.,MEXUw-0401,"Barajas Morales, Josefina",,197,,,,Veracruz,México, 06/10/1982,6,10,1982,"Instituto de Biología, UNAM",,,Chilpayiun,Árbol,,,,,270,8329,,,,,,,,,,,,
Sapindaceae,Cupania,macropylla, ,Mart.,MEXUw-0402,"Barajas Morales, Josefina",,198,,,,Veracruz,México, 06/10/1982,6,10,1982,"Instituto de Biología, UNAM",,,Colorado,Árbol,,,,,165,4786,,,,,,,,,,,,
Lauraceae,Damburneya,ambigens, ,(S.F.Blake) Trofimov,MEXUw-0403,"Barajas Morales, Josefina",,199,,Nectandra,,Veracruz,México, 06/11/1982,6,11,1982,"Instituto de Biología, UNAM",,1 MAP,Laurel amarillo,Árbol,,,,,102,2790,,,,,,,,,,,,
Capparaceae,Forchhammeria,pallida, ,Liebm.,MEXUw-0404,"Barajas Morales, Josefina","Solís Magallanes, José Arturo",161,,,,Jalisco,México, 25/03/1982,25,3,1982,"Instituto de Biología, UNAM",,1 MAP,Anonilla,Árbol,,,,,107,3117,,,,,,,,,,,,
Capparaceae,Capparis,rheedei, ,DC.,MEXUw-0405,"Barajas Morales, Josefina",,201,,,baducca,Veracruz,México, 21/04/1982,21,4,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,107,3101,,,,,,,,,,,,
Apocynaceae,Tabernaemontana,donnell-smithii, ,Rose,MEXUw-0406,"Barajas Morales, Josefina",,202,,Stemmadenia,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,"Huevo de mono, Huevo de venado",Árbol,,,,,247,6611,,,,,,,,,,,,
Rubiaceae,Hamelia,longipes, ,Standl.,MEXUw-0407,"Barajas Morales, Josefina",,203,,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,270,8329,,,,,,,,,,,,
Lauraceae,Damburneya,salicifolia, ,(Kunth) Trofimov & Rohwer,MEXUw-0408,"Barajas Morales, Josefina",,204,,Nectandra,,Veracruz,México, 07/11/1982,7,11,1982,"Instituto de Biología, UNAM",,1 MAP,Laurel chilpatillo,Árbol,,,,,102,2790,,,,,,,,,,,,
Annonaceae,Cymbopetalum,penduliflorum, ,(Dunal) Baill.,MEXUw-0409,"Barajas Morales, Josefina",,205,,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",INIFAP 12.2023 4 Tabillas tráfico ilegal 14.04.2024,1MAP,,Árbol,,,,,98,2709,,,,,,,,,,,,
Urticaceae,Urera,caracasana, ,(Jacq.) Gaudich. ex Griseb.,MEXUw-0410,"Barajas Morales, Josefina",,206,,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,Hueva de cangrejo,Árbol,,,,,65,1978,,,,,,,,,,,,
Bignoniaceae,Amphitecna,tuxtlensis, ,A.H. Gentry,MEXUw-0411,"Barajas Morales, Josefina",,207,,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,258,7753,,,,,,,,,,,,
Fabaceae,Inga,sapindoides, ,Willd.,MEXUw-0412,"Barajas Morales, Josefina",,208,Leguminosae,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,"Acotope, atamani",Árbol,,,,,128,3436,,,,,,,,,,,,
Vitaceae,Cissus,alata, ,Jacq.,MEXUw-0413,"León Gómez, Calixto",,833,,,rhombifolia,Veracruz,México,15/07/2000,15,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,170,4918,,,,,,,,,,,,
Lauraceae,Nectandra,rubriflora, ,(Mez) C.K. Allen,MEXUw-0414,"Barajas Morales, Josefina",,210,,,,Veracruz,México, 07/11/1982,7,11,1982,"Instituto de Biología, UNAM",,,Aguacatillo,Árbol,,,,,102,2790,,,,,,,,,,,,
Cannabaceae,Trema,micrantha, ,(L.) Blume,MEXUw-0415,"Barajas Morales, Josefina",,211,Ulmaceae,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",4 Tabillas tráfico ilegal 14.04.2024,,"Capulin, cuerillo, todogapoli",Árbol,,,,,63,1902,,,,,,,,,,,,
Malvaceae,Hampea,nutricia, ,Fryxell,MEXUw-0416,"Barajas Morales, Josefina",,212,,,,Veracruz,México, 07/10/1982,7,10,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,175,5020A,,,,,,,,,,,,
Arecaceae,Astrocaryum,mexicanum, ,Liebm.,MEXUw-0417,"Barajas Morales, Josefina",,213,,,,Veracruz,México,04/02/1983,4,2,1983,"Instituto de Biología, UNAM",,,chocho,Árbol,,,,,21,668,,,,,,,,,,,,
Solanaceae,Juanulloa,mexicana, ,(Schltdl.) Miers,MEXUw-0418,"Barajas Morales, Josefina",,214,,,,Veracruz,México,04/02/1983,4,2,1983,"Instituto de Biología, UNAM",,,Bejuco,Bejuco,,,,,256,7419,,,,,,,,,,,,
Lauraceae,Damburneya,ambigens, ,(S.F.Blake) Trofimov,MEXUw-0419,"Barajas Morales, Josefina",,215,,Nectandra,,Veracruz,México,04/02/1983,4,2,1983,"Instituto de Biología, UNAM",,,"Laurel aguacatillo, laurel chilpatillo",Árbol,,,,,102,2790,,,,,,,,,,,,
Urticaceae,Cecropia,obtusifolia, ,Bertol.,MEXUw-0420,"Barajas Morales, Josefina",,216,Moraceae,,,Veracruz,México,04/02/1983,4,2,1983,"Instituto de Biología, UNAM",,,Yuale,Árbol,,,,,64,1971,,,,,,,,,,,,
Lauraceae,Nectandra,sp., ,Rol. ex Rottb.,MEXUw-0421,"Barajas Morales, Josefina",,217,,,,Veracruz,México,01/12/1983,1,12,1983,"Instituto de Biología, UNAM",,,Laurel pimienta,Árbol,,,,,102,2790,,,,,,,,,,,,
Boraginaceae,Cordia,alliodora, ,(Ruiz & Pav.) Oken,MEXUw-0422,"Barajas Morales, Josefina",,218,,,,Veracruz,México,01/12/1983,1,12,1983,"Instituto de Biología, UNAM",,,Nopo,Árbol,,,,,252,7038,,,,,,,,,,,,
Euphorbiaceae,Sapium,glandulosum, ,(L.) Morong,MEXUw-0423,"Barajas Morales, Josefina",,219,,,nitidum,Veracruz,México,01/12/1983,1,12,1983,"Instituto de Biología, UNAM",,,Amate blanco,Árbol,,,,,147,4483,,,,,,,,,,,,
Meliaceae,Guarea,glabra,,Vahl,MEXUw-0424,"Barajas Morales, Josefina",,220,,,,Veracruz,México,01/12/1983,1,12,1983,"Instituto de Biología, UNAM",,,Gagal,Árbol,,,,,,,,,,,,,,,,,,
Guttiferae,Calophyllum,brasiliense, ,Cambess.,MEXUw-0425,"Barajas Morales, Josefina",,221,Guttiferae,,,Veracruz,México,01/12/1983,1,12,1983,"Instituto de Biología, UNAM",,,Palo escrito,Árbol,,,,,187,5178,,,,,,,,,,,,
Fabaceae,Machaerium,cobanense, ,Donn. Sm.,MEXUw-0426,"León Gómez, Calixto",,854,,,,Veracruz,México,15/07/2000,15,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,128,3823,,,,,,,,,,,,
Opiliaceae,Agonandra,racemosa, ,(DC.) Standl.,MEXUw-0427,"Barajas Morales, Josefina",,223,,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",INIFAP 12.2023 2 Tabillas tráfico ilegal 14.04.2024,,,Árbol,,,,,71,2128,,,,,,,,,,,,
Burseraceae,Bursera,fagaroides, ,(Kunth) Engl.,MEXUw-0428,"Barajas Morales, Josefina",,224,,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,"Cosquelite, colorín",Árbol,,,,,139,4150,,,,,,,,,,,,
Fabaceae,Diphysa,thurberi, ,Rydb. ex Standl.,MEXUw-0429,"Barajas Morales, Josefina",,226,Leguminosae,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Cirimo,Árbol,,,,,128,3741,,,,,,,,,,,,
Fabaceae,Havardia,platyloba, ,(Bertero ex DC.) Britton & Rose,MEXUw-0430,"Barajas Morales, Josefina",,227,Leguminosae,Pithecellobium,platylobum,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Árbol,,,,,128,3441,,,,,,,,,,,,
Euphorbiaceae,Adelia,oaxacana, ,(Müll. Arg.) Hemsl.,MEXUw-0431,"Barajas Morales, Josefina",,228,,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Árbol,,,,,147,4397,,,,,,,,,,,,
Rubiaceae,Randia,thurberi, ,S. Watson,MEXUw-0432,"Barajas Morales, Josefina",,229,,,,Jalisco,México,07/03/1984,7,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,270,8283,,,,,,,,,,,,
Erythroxylaceae,Erythroxylum,mexicanum, ,Kunth,MEXUw-0433,"Barajas Morales, Josefina",,230,,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Guachichile,Árbol,,,,,134,3956,,,,,,,,,,,,
Erythroxylaceae,Erythroxylum,havanense, ,Jacq.,MEXUw-0434,"Barajas Morales, Josefina",,231,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Palo verde,Árbol,,,,,134,3956,,,,,,,,,,,,
Fabaceae,Senna,bicapsularis,var. bicapsularis,L.,MEXUw-0435,"Barajas Morales, Josefina",,232,Leguminosae,Cassia,emarginata,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Palo verde,Árbol,,,,,128,3536,,,,,,,,,,,,
Fabaceae,Gliricidia,sepium, ,(Jacq.) Kunth ex Walp.,MEXUw-0436,"Barajas Morales, Josefina",,233,Leguminosae,,,Jalisco,México,07/11/1984,7,11,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3734,,,,,,,,,,,,
Bignoniaceae,Handroanthus,chrysanthus, ,(Jacq.) S.O.Grose,MEXUw-0437,"Barajas Morales, Josefina",,234,,Tabebuia,chrysantha,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,"Mapilla, verdesillo",Árbol,,,,,258,7732,,,,,,,,,,,,
Malvaceae,Luehea,candida, ,(Moc. & Sessé ex DC.) Mart.,MEXUw-0438,"Barajas Morales, Josefina",,235,Tiliaceae,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,174,4959,,,,,,,,,,,,
Cupressaceae,Calocedrus,decurrens, ,Torr.,MEXUw-0439,NA,,464,,Libocedrus,,NA,NA,11/1982,NA,11,1982,Berol,,,,Árbol,,,,,6C,41,,,,,,,,,,,,
Anacardiaceae,Comocladia,mollissima, ,Kunth,MEXUw-0440,"Barajas Morales, Josefina",,237,,,engleriana,Veracruz,México,02/12/1983,2,12,1983,"Instituto de Biología, UNAM",,,,Árbol,,,,,153,4590,,,,,,,,,,,,
Fabaceae,Entada,polystachya, ,(L.) DC.,MEXUw-0441,"Barajas Morales, Josefina",,238,Leguminosae,,,Jalisco,México,07/11/1984,7,11,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3468,,,,,,,,,,,,
Rubiaceae,Randia,tetracantha, ,(Cav.) DC.,MEXUw-0442,"Barajas Morales, Josefina",,239,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Bejuco,,,,,270,8283,,,,,,,,,,,,
Rhamnaceae,Colubrina,heteroneura, ,(Griseb.) Standl.,MEXUw-0443,"Barajas Morales, Josefina",,240,,,,Jalisco,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",,,Guayacan,Árbol,,,,,169,4882,,,,,,,,,,,,
Bignoniaceae,Tabebuia,rosea, ,(Bertol.) A. DC.,MEXUw-0444,"Barajas Morales, Josefina",,241,,,,Jalisco,México,09/02/1984,9,2,1984,"Instituto de Biología, UNAM",,,Rosa morada,Árbol,,,,,258,7732,,,,,,,,,,,,
Fabaceae,Acacia,macrantha ,aff.,Humb. & Bonpl. ex Willd.,MEXUw-0445,"Barajas Morales, Josefina",,242,Leguminosae,,,Jalisco,México,09/02/1984,9,2,1984,"Instituto de Biología, UNAM",SPFw 12.2023,,,Árbol,,,,,128,3446,,,,,,,,,,,,
Euphorbiaceae,Jatropha,peltata, ,Sessé,MEXUw-0446,"Barajas Morales, Josefina",,243,,,platyphylla,Jalisco,México,09/02/1984,9,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,147,4433,,,,,,,,,,,,
Bignoniaceae,Roseodendron,donnell-smithii, ,(Rose) Miranda,MEXUw-0447,"Barajas Morales, Josefina",,244,,Tabebuia,,Jalisco,México,09/02/1984,9,2,1984,"Instituto de Biología, UNAM",,,Primavera,Árbol,,,,,258,7732,,,,,,,,,,,,
Lauraceae,Licaria,velutina, ,van der Werff,MEXUw-0448,"Barajas Morales, Josefina","Sinaca Colín, Santiago",246,,,,Veracruz,México,21/3/1984,21,3,1984,"Instituto de Biología, UNAM",4 Tabillas tráfico ilegal 14.04.2024,,Laurel baboso,Árbol,,,,,102,2788A,,,,,,,,,,,,
Meliaceae,Guarea,glabra, ,Vahl,MEXUw-0449,"Barajas Morales, Josefina","León Gómez, Calixto; Hernández R., Miguel",250,,,,Veracruz,México, 21/03/1984,21,3,1984,"Instituto de Biología, UNAM ",SPFw 12.2023,,Palo bejuco,Árbol,,,,,140,4190,,,,,,,,,,,,
Euphorbiaceae,Croton,nitens, ,Sw.,MEXUw-0450,"Barajas Morales, Josefina",,247,,,,Veracruz,México,21/03/1984,21,3,1984,"Instituto de Biología, UNAM",,,"Higuera, zalate",Árbol,,,,,147,4348,,,,,,,,,,,,
Rubiaceae,Genipa,americana, ,L.,MEXUw-0451,"Barajas Morales, Josefina",,248,,,,Veracruz,México,07/02/1984,7,2,1984,"Instituto de Biología, UNAM",INIFAP 12.2023 4 Tabillas tráfico ilegal 14.04.2024,,,Árbol,,,,,270,8290,,,,,,,,,,,,
Moraceae,Clarisia,mexicana, ,Lanj.,MEXUw-0452,"Barajas Morales, Josefina",,249,,,biflora subsp. mexicana,Veracruz,México,21/03/1984,21,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,64,1937,,,,,,,,,,,,
Piperaceae,Piper,hispidum, ,Sw.,MEXUw-0453,"Barajas Morales, Josefina","León Gómez, Calixto; Hernández R., Miguel",194,,,,Veracruz,México, 05/10/1982,5,10,1982,"Instituto de Biología, UNAM",,,,Árbol,,,,,53,1862,,,,,,,,,,,,
Anacardiaceae,Tapirira,mexicana, ,Marchand,MEXUw-0454,"Barajas Morales, Josefina",,251,,,,Veracruz,México,21/03/1984,21,3,1984,"Instituto de Biología, UNAM",,,Nompi,Árbol,,,,,153,4566,,,,,,,,,,,,
Fabaceae,Dalbergia,sp., ,L. f.,MEXUw-0455,NA,,NA,Leguminosae,,,Michoacán,México, 99/99/1979,NA,NA,1979,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3821,,,,,,,,,,,,
Fabaceae,Dalbergia,paloescrito, ,Rzed. & Guridi-Gómez,MEXUw-0456,NA,,NA,Leguminosae,,,Michoacán,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3821,,,,,,,,,,,,
Anacardiaceae,Spondias,mombin, ,L.,MEXUw-0457,"Barajas Morales, Josefina",,254,,,,Veracruz,México,22/03/1984,22,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,153,4552,,,,,,,,,,,,
Fabaceae,Erythrina,folkersii, ,Krukoff & Moldenke,MEXUw-0458,"Barajas Morales, Josefina",,255,Leguminosae,,,Veracruz,México,21/03/1984,21,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3870,,,,,,,,,,,,
Malvaceae,Tilia,mexicana, ,Schltdl.,MEXUw-0459,NA,,NA,Tiliaceae,,,Michoacán,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Cirimo,Árbol,,,,,174,4964,,,,,,,,,,,,
Fabaceae,Cynometra,retusa, ,Britton & Rose,MEXUw-0460,"Barajas Morales, Josefina",,257,Leguminosae,,,Veracruz,México,22/03/1984,22,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3475,,,,,,,,,,,,
Rhamnaceae,Gouania,lupuloides, ,(L.) Urb.,MEXUw-0461,"León Gómez, Calixto",,831,,,,Veracruz,México,15/07/2000,15,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,169,4902,,,,,,,,,,,,
Fabaceae,Calopogonium,mucunoides, ,Desv.,MEXUw-0462,"León Gómez, Calixto",,621,Leguminosae,,,Veracruz,México,24/10/1999,24,10,1999,"Instituto de Biología, UNAM",,,,Liana,,,,,128,3879,,,,,,,,,,,,
Rhamnaceae,Gouania,lupuloides, ,(L.) Urb.,MEXUw-0463,"León Gómez, Calixto",,852,,,,Veracruz,México,15/07/2000,15,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,169,4902,,,,,,,,,,,,
Fabaceae,Caesalpinia,sp., ,Plum. ex L.,MEXUw-0464,"Torres Colín, Rafael",,12729,,,,Oaxaca,México,24/9/1988,24,9,1988,"Instituto de Biología, UNAM",,,,Árbol,,7 m,,,128,3559,,,,,,,,,,,,
Convolvulaceae,Ipomoea,philomega, ,(Vell.) House,MEXUw-0465,"León Gómez, Calixto",,834,,,,Veracruz,México,15/07/2000,15,7,2000,"Instituto de Biología, UNAM",,,,Liana,,,,,249,7003,,,,,,,,,,,,
Myrtaceae,Pimenta,dioica, ,(L.) Merr.,MEXUw-0466,"León Gómez, Calixto",,66,,,,Veracruz,México, 02/12/1983,2,12,1983,"Instituto de Biología, UNAM",,,"Pato colote, pimientón",Árbol,,,,,222,5566,,,,,,,,,,,,
Fabaceae,Cojoba,arborea, ,(L.) Britton & Rose,MEXUw-0467,"León Gómez, Calixto",,67,Leguminosae,Pithecellobium,arboreum,Veracruz,México, 02/12/1983,2,12,1983,"Instituto de Biología, UNAM",,1 MAP,Camaronero,Árbol,,,,,128,3441,,,,,,,,,,,,
Polemoniaceae,Loeselia,mexicana, ,Brand.,MEXUw-0468,"León Gómez, Calixto",,68,,,,Veracruz,México, 02/12/1983,2,12,1983,"Instituto de Biología, UNAM",,,Guachichile,Árbol,,,,,250,3834,,,,,,,,,,,,
Aquifoliaceae,Ilex,costaricensis, ,Donn.Sm.,MEXUw-0469,"León Gómez, Calixto",,69,,,valerii,Veracruz,México,02/12/1983,2,12,1983,"Instituto de Biología, UNAM",,,Palo de fideo,Árbol,,,,,157,4614,,,,,,,,,,,,
Moraceae,Pseudolmedia,glabrata, ,(Liebm.) C.C.Berg,MEXUw-0470,"León Gómez, Calixto",,70,,,oxyphyllaria,Veracruz,México, 02/11/1983,2,11,1983,"Instituto de Biología, UNAM",,,Tomatillo,Árbol,,,,,64,1954,,,,,,,,,,,,
Juglandaceae,Carya,illinoinensis, ,(Wangenh.) K. Koch,MEXUw-0471,"León Gómez, Calixto",,71,,,,Coahuila,México,8/2/1984,8,2,1984,"Instituto de Biología, UNAM",,,Nazareno,Árbol,,,,,60,1882,,,,,,,,,,,,
Sapindaceae,Thouinidium,decandrum, ,(Bonpl.) Radlk.,MEXUw-0472,"León Gómez, Calixto",,72,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,165,4736,,,,,,,,,,,,
Bignoniaceae,Bignonia,binata, ,Thunb.,MEXUw-0473,"León Gómez, Calixto",,73,,Clytostoma,binatum,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Árbol,,,,,258,7705,,,,,,,,,,,,
Ulmaceae,Phyllostylon,rhamnoides, ,(J.Poiss.) Taub.,MEXUw-0474,"León Gómez, Calixto",,74,,,brasiliensis,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Tepozan,Árbol,,,,,63,1894,,,,,,,,,,,,
Rhamnaceae,Sarcomphalus,amole, ,(Sessé & Moc.) mC. Johnst.,MEXUw-0475,"León Gómez, Calixto",,75,,Ziziphus,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Cholulo,Árbol,,,,,169,4861,,,,,,,,,,,,
Combretaceae,Combretum,fruticosum, ,(Loefl.) Stuntz,MEXUw-0476,"León Gómez, Calixto",,76,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Árbol,,,,,221,5538,,,,,,,,,,,,
Achatocarpaceae,Achatocarpus,gracilis, ,H. Walter ,MEXUw-0477,"León Gómez, Calixto",,77,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Corcho,Árbol,,,,,84A,2405-1,,,,,,,,,,,,
Capparaceae,Morisonia,verrucosa, ,(Jacq.) Christenh. & Byng,MEXUw-0478,"León Gómez, Calixto",,78,,Capparis,,Jalisco,México, 08/11/1984,8,11,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,107,3104,,,,,,,,,,,,
Zygophyllaceae,Guaiacum,coulteri, ,A. Gray,MEXUw-0479,"León Gómez, Calixto",,79,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,135,3968,,,,,,,,,,,,
Fabaceae,Pithecellobium,unguis-cati, ,(L.) Benth.,MEXUw-0480,"León Gómez, Calixto",,80,Leguminosae,,seleri,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3441,,,,,,,,,,,,
Bignoniaceae,Adenocalymma,inundatum, ,Mart. ex DC.,MEXUw-0481,"León Gómez, Calixto",,81,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Liana,,,,,258,7664,,,,,,,,,,,,
Fabaceae,Coulteria,platyloba, ,(S.Watson) N.Zamora,MEXUw-0482,"León Gómez, Calixto",,82,Leguminosae,Caesalpinia,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",SPFw 12.2023,,"Palo blanco, tassitle, palo de burra, tepamacayo",Árbol,,,,,128,3559,,,,,,,,,,,,
Acanthaceae,Avicennia,germinans, ,(L.) L.,MEXUw-0483,"León Gómez, Calixto",,83,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,253,7205,,,,,,,,,,,,
Capparaceae,Morisonia,incana, ,(Kunth) Christenh. & Byng,MEXUw-0484,"León Gómez, Calixto",,84,,Capparis,,Jalisco,México,06/04/1983,6,4,1983,"Instituto de Biología, UNAM",,,,Árbol,,,,,107,3104,,,,,,,,,,,,
Combretaceae,Conocarpus,erectus, ,L.,MEXUw-0485,"León Gómez, Calixto",,85,,,,Jalisco,México, 08/11/1984,8,11,1984,"Instituto de Biología, UNAM",SPFw 12.2023,,,Árbol,,,,,221,5548,,,,,,,,,,,,
Moraceae,Ficus,goldmanii, ,Standl.,MEXUw-0486,"León Gómez, Calixto",,86,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,64,1961,,,,,,,,,,,,
Nyctaginaceae,Pisonia,aculeata, ,L.,MEXUw-0487,"León Gómez, Calixto",,87,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Bejuco,,,,,80,2354,,,,,,,,,,,,
Fabaceae,Pithecellobium,lanceolatum, ,(Humb. & Bonpl. ex Willd.) Benth.,MEXUw-0488,"León Gómez, Calixto",,88,Leguminosae,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Timuchil,Árbol,,,,,128,3441,,,,,,,,,,,,
Connaraceae,Rourea,glabra, ,Kunth,MEXUw-0489,"León Gómez, Calixto",,89,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Tomatillo,Bejuco,,,,,127,3424,,,,,,,,,,,,
Polygonaceae,Coccoloba,barbadensis, ,Jacq.,MEXUw-0490,"León Gómez, Calixto",,90,,,,Jalisco,México,12/03/1984,12,3,1984,"Instituto de Biología, UNAM",,,Cornezuelo,Árbol,,,,,77,2209,,,,,,,,,,,,
Anacardiaceae,Astronium,graveolens, ,Jacq.,MEXUw-0491,"León Gómez, Calixto",,91,,,,Jalisco,México,8/2/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,153,4595,,,,,,,,,,,,
Rubiaceae,Randia,armata, ,(Cav.) DC.,MEXUw-0492,"León Gómez, Calixto",,92,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Bejuco,Bejuco,,,,,270,8283,,,,,,,,,,,,
Fabaceae,Vachellia,hindsii, ,(Benth.) Seigler & Ebinger,MEXUw-0493,"León Gómez, Calixto",,93,Leguminosae,Acacia,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Dagamillo,Árbol,,,,,128,3446,,,,,,,,,,,,
Boraginaceae,Cordia,seleriana, ,Fernald,MEXUw-0494,"León Gómez, Calixto",,94,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,252,7038,,,,,,,,,,,,
Convolvulaceae,Ipomoea,bracteata, ,Cav,MEXUw-0495,"León Gómez, Calixto",,95,,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,Jicarilla,Liana,,,,,249,7003,,,,,,,,,,,,
Salicaceae,Samyda,mexicana, ,Rose,MEXUw-0496,"León Gómez, Calixto",,96,Flacourtiaceae,,,Jalisco,México,08/02/1984,8,2,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,199,5337,,,,,,,,,,,,
Rutaceae,Citrus,aurantium, ,L.,MEXUw-0497,"León Gómez, Calixto",,97,,,,Veracruz,México,21/03/1984,21,3,1984,"Instituto de Biología, UNAM",,,,Árbol,,,,,137,4100,,,,,,,,,,,,
Burseraceae,Bursera,fagaroides, ,(Kunth) Engl,MEXUw-0498,Garibaldi C.,Gómez Vázquez G.,4,,,,Morelos,México,1/2/1985,1,2,1985,"Instituto de Biología, UNAM",,,,Árbol,,,,,139,4150,,,,,,,,,,,,
Nyctaginaceae,Pisonia,aculeata, ,L.,MEXUw-0499,NA,,NA,,,,NA,NA,12/10/2011,12,10,2011,NA,,,,Liana,,,,,80,2354,,,,,,,,,,,,
