Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Chrysobalanaceae,Couepia,polyandra, ,(Kunth) Rose,MEXUw-0022,"Miranda, Faustino",,7045,,,,Chiapas,México,25/2/1951,25,2,1951,"Instituto de Biología, UNAM",,,"Olozapote, zapotillo",Árbol,,,,,126A,3404,,,,,,,,,,,,10
Capparaceae,Capparis,sp., ,L.,MEXUw-0023,"Miranda, Faustino",,7122,,,,Chiapas,México,19/4/1951,19,4,1951,"Instituto de Biología, UNAM",,,Cacho de coco,Árbol,,,,,107,3101,,,,,,,,,,,,
Lauraceae,Nectandra,sinuata ,aff.,Mez,MEXUw-0024,"Miranda, Faustino",,7044,,,,Chiapas,México,25/02/1951,25,2,1951,"Instituto de Biología, UNAM",,,Nactandra,Árbol,,,,,102,2790,,,,,,,,,,,,
Annonaceae,Annona,reticulata, ,L.,MEXUw-0025,"Miranda, Faustino",,6883,,,,Chiapas,México,7/3/1954,7,3,1954,"Instituto de Biología, UNAM",,,Anona,Árbol,,,,,98,2729,,,,,,,,,,,,
Menispermaceae,Hyperbaena,mexicana, ,Miers,MEXUw-0026,"Miranda, Faustino",,NA,,,,Chiapas,México,7/3/1954,7,3,1954,"Instituto de Biología, UNAM",,,Duraznillo,Árbol,,,,,94,2622,,,,,,,,,,,,
Olacaceae,Ximenia,americana, ,L.,MEXUw-0027,"Miranda, Faustino",,NA,,,,Chiapas,México,7/2/1951,7,2,1951,"Instituto de Biología, UNAM",,,Nanchicacao,Árbol,,,,,72,2136,,,,,,,,,,,,
Opiliaceae,Agonandra,ovatifolia, ,Miranda,MEXUw-0028,"Miranda, Faustino",,6863,,,,Chiapas,México,31/1/1951,31,1,1951,"Instituto de Biología, UNAM",,,Aceituna,Árbol,,,,,71,2128,,,,,,,,,,,,
Moraceae,Pseudolmedia,mollis, ,Standl. ,MEXUw-0029,"López, Enrique",,7067,,,simiarum,Chiapas,México,7/2/1951,7,2,1951,"Instituto de Biología, UNAM",,,Durazno,Árbol,,,,,64,1954,,,,,,,,,,,,
Moraceae,Maclura,tinctoria, ,(L.) Gaudich. ex Benth.,MEXUw-0030,"Miranda, Faustino",,6771,,Chlorophora,,Chiapas,México,7/11/1950,7,11,1950,"Instituto de Biología, UNAM",,,Guamuchil,Árbol,,,,,64,1919,,,,,,,,,,,,
Fagaceae,Quercus,acatenanguensis, ,Trel.,MEXUw-0031,"Miranda, Faustino",,7244,,,,Chiapas,México,2/8/1958,2,8,1958,"Instituto de Biología, UNAM",,,Chiquinio,Árbol,,,,,62,1893,,,,,,,,,,,,
